fdc_id,measure_unit_id,amount,gram_weight
167869,9999,3.0,85.0
167869,9999,2.0,57.0
167869,9999,1.0,170.0
167870,9999,3.0,85.0
167870,9999,1.0,453.6
167871,9999,1.0,140.0
167871,9999,3.0,85.0
167872,9999,1.0,140.0
167872,9999,3.0,85.0
167873,9999,1.0,28.35
167873,9999,1.0,65.0
167874,9999,1.0,28.35
167874,9999,1.0,57.0
167875,9999,1.0,140.0
167875,9999,1.0,28.35
167876,9999,3.0,85.0
167876,9999,1.0,140.0
167877,9999,1.0,28.35
167877,9999,3.0,85.0
167878,9999,1.0,28.35
167878,9999,3.0,85.0
167879,9999,1.0,140.0
167879,9999,3.0,85.0
167880,9999,1.0,140.0
167880,9999,3.0,85.0
167881,9999,3.0,85.0
167881,9999,1.0,275.0
167882,9999,3.0,85.0
167882,9999,1.0,172.0
167883,9999,3.0,85.0
167883,9999,1.0,169.0
167884,9999,3.0,85.0
167884,9999,1.0,215.0
167885,9999,3.0,85.0
167885,9999,1.0,140.0
167886,9999,1.0,140.0
167886,9999,3.0,85.0
167887,9999,3.0,85.0
167887,9999,1.0,142.0
167888,9999,1.0,28.35
167888,9999,1.0,453.6
167889,9999,4.0,113.0
167889,9999,1.0,101.0
167890,9999,3.0,85.0
167890,9999,1.0,81.0
167891,9999,3.0,85.0
167891,9999,1.0,80.0
167892,9999,3.0,85.0
167892,9999,1.0,75.0
167893,9999,3.0,85.0
167893,9999,1.0,66.0
167894,9999,3.0,85.0
167894,9999,1.0,283.0
167895,9999,4.0,113.0
167895,9999,1.0,128.0
167896,9999,1.0,86.0
167896,9999,3.0,85.0
167897,9999,1.0,138.0
167898,9999,3.0,85.0
167898,9999,1.0,82.0
167899,9999,3.0,85.0
167899,9999,1.0,159.0
167900,9999,3.0,85.0
167900,9999,1.0,638.0
167901,9999,4.0,113.0
167901,9999,1.0,210.0
167902,9999,1.0,28.35
167902,9999,4.0,113.0
167903,9999,3.0,85.0
167904,9999,3.0,85.0
167904,9999,1.0,76.0
167905,9999,3.0,85.0
167905,9999,1.0,402.0
167906,9999,3.0,85.0
167906,9999,1.0,261.0
167907,9999,1.0,28.35
167907,9999,1.0,453.6
167908,9999,3.0,85.0
167908,9999,1.0,236.0
167909,9999,1.0,84.0
167910,9999,4.0,112.0
167911,9999,1.0,56.0
167912,9999,3.0,85.0
167912,9999,1.0,150.0
167913,9999,3.0,85.0
167913,9999,1.0,150.0
167914,9999,3.0,85.0
167914,9999,1.0,8.1
167915,9999,3.0,85.0
167915,9999,1.0,2970.0
167916,9999,3.0,85.0
167917,9999,3.0,85.0
167917,9999,1.0,3054.0
167918,9999,3.0,85.0
167918,9999,1.0,436.0
167919,9999,3.0,85.0
167919,9999,1.0,2673.0
167920,9999,1.0,85.0
167920,9999,1.0,3170.0
167921,9999,1.0,34.0
167922,9999,1.0,59.0
167923,9999,1.0,43.0
167924,9999,1.0,16.0
167925,9999,6.0,39.0
167925,9999,1.0,6.5
167926,9999,1.0,28.35
167926,9999,1.0,38.0
167926,9999,1.0,144.0
167927,9999,1.0,53.0
167927,9999,1.0,28.35
167928,9999,1.0,51.0
167929,9999,1.0,71.0
167929,9999,1.0,28.35
167930,9999,1.0,198.0
167931,9999,1.0,202.0
167932,9999,1.0,229.0
167933,9999,1.0,29.0
167933,9999,1.0,4.2
167933,9999,6.0,29.0
167934,9999,1.0,29.0
167934,9999,1.0,1.8
167934,9999,16.0,29.0
167935,9999,1.0,63.0
167936,9999,1.0,42.0
167937,9999,1.0,39.0
167937,9999,1.0,311.0
167938,9999,1.0,42.0
167939,9999,1.0,43.0
167939,9999,1.0,59.0
167940,9999,1.0,65.0
167941,9999,1.0,30.0
167942,9999,1.0,14.0
167943,9999,1.0,32.0
167944,9999,1.0,48.0
167945,9999,1.0,57.0
167946,9999,1.0,35.0
167947,9999,1.0,35.0
167948,9999,1.0,28.35
167948,9999,2.0,57.0
167949,9999,1.0,28.35
167949,9999,1.0,28.35
167950,9999,1.0,28.35
167950,9999,2.0,57.0
167950,9999,1.0,85.0
167951,9999,1.0,28.0
167952,9999,1.0,28.35
167952,9999,1.0,24.0
167953,9999,1.0,334.0
167953,9999,0.25,84.0
167954,9999,1.0,28.0
167955,9999,1.0,28.0
167956,9999,2.0,34.0
167957,9999,1.0,20.0
167958,9999,1.0,28.35
167958,9999,2.0,57.0
167959,9999,1.0,8.0
167959,9999,1.0,28.35
167960,9999,1.0,11.0
167960,9999,1.0,28.35
167961,9999,1.0,28.35
167961,9999,0.5,14.2
167962,9999,1.0,28.35
167962,9999,1.0,198.0
167963,9999,1.0,28.35
167963,9999,1.0,198.0
167964,9999,1.0,28.35
167964,9999,10.0,30.0
167965,9999,1.0,28.35
167965,9999,2.0,57.0
167966,9999,1.0,9.0
167966,9999,2.0,18.0
167967,9999,1.0,9.0
167967,9999,2.0,18.0
167968,9999,1.0,140.0
167968,9999,1.0,28.35
167968,9999,1.5,42.0
167969,9999,1.0,146.0
167969,9999,1.0,28.35
167969,9999,1.5,42.0
167970,9999,1.0,28.35
167970,9999,1.0,227.0
167971,9999,1.0,40.0
167971,9999,1.0,6.6
167972,9999,1.0,28.35
167972,9999,3.0,16.0
167973,9999,1.0,28.35
167973,9999,1.0,87.0
167974,9999,1.0,71.0
167974,9999,1.0,10.1
167975,9999,1.0,35.0
167975,9999,1.0,45.0
167975,9999,6.0,43.0
167976,9999,1.0,14.5
167976,9999,1.0,182.0
167976,9999,1.0,173.0
167976,9999,1.0,28.35
167976,9999,1.0,168.0
167977,9999,1.0,28.35
167977,9999,1.0,41.0
167978,9999,1.0,43.0
167978,9999,1.0,11.0
167979,9999,13.0,41.0
167980,9999,1.0,170.0
167980,9999,1.0,28.35
167981,9999,0.5,86.0
167982,9999,1.0,43.0
167983,9999,27.0,40.0
167984,9999,1.0,42.0
167984,9999,1.0,68.0
167985,9999,1.0,56.0
167985,9999,1.0,16.0
167986,9999,1.0,28.35
167987,9999,1.0,17.0
167988,9999,1.0,28.35
167989,9999,1.0,182.0
167989,9999,10.0,36.0
167989,9999,10.0,22.0
167989,9999,10.0,63.0
167989,9999,10.0,50.0
167989,9999,10.0,74.0
167989,9999,1.0,9.5
167989,9999,1.0,24.0
167989,9999,1.0,3.2
167989,9999,1.0,4.2
167989,9999,1.0,11.6
167989,9999,1.0,10.0
167990,9999,1.0,28.35
167990,9999,1.0,6.0
167990,9999,1.0,3.0
167991,9999,10.0,11.0
167991,9999,10.0,28.0
167992,9999,1.0,42.0
167992,9999,1.0,10.0
167992,9999,1.0,46.0
167992,9999,1.0,78.0
167992,9999,1.0,96.0
167993,9999,1.0,41.0
167993,9999,1.0,56.0
167993,9999,3.0,37.0
167994,9999,1.0,50.0
167995,9999,1.0,50.0
167995,9999,10.0,7.0
167995,9999,1.0,7.2
167996,9999,1.0,28.35
167997,9999,1.0,57.0
167997,9999,1.0,26.0
167998,9999,0.5,142.0
167999,9999,1.0,20.0
168000,9999,1.0,37.0
168001,9999,1.0,149.0
168001,9999,10.0,40.0
168002,9999,3.0,30.0
168003,9999,3.0,23.0
168004,9999,3.0,7.4
168005,9999,10.0,5.2
168006,9999,10.0,5.3
168007,9999,3.0,44.0
168008,9999,1.0,78.0
168010,9999,1.0,36.0
168011,9999,1.0,47.0
168011,9999,1.0,255.0
168012,9999,3.0,8.4
168013,9999,1.0,28.35
168013,9999,1.0,26.0
168013,9999,1.0,41.0
168014,9999,1.0,28.35
168014,9999,1.0,4.9
168014,9999,1.0,2.5
168014,9999,1.0,57.0
168015,9999,3.0,85.0
168016,9999,3.0,85.0
168041,9999,1.0,197.0
168042,9999,1.0,308.0
168043,9999,1.0,411.0
168044,9999,1.0,303.0
168062,9999,1.0,301.0
168063,9999,1.0,283.0
168063,9999,1.0,253.0
168064,9999,1.0,461.0
168064,9999,1.0,146.0
168065,9999,1.0,590.0
168065,9999,1.0,157.0
168066,9999,1.0,653.0
168066,9999,1.0,115.0
168067,9999,1.0,142.0
168068,9999,1.0,246.0
168069,9999,1.0,200.0
168070,9999,1.0,98.0
168071,9999,1.0,70.0
168072,9999,1.0,574.0
168073,9999,1.0,103.0
168073,9999,1.0,36.0
168074,9999,1.0,149.0
168075,9999,1.0,178.0
168075,9999,1.0,124.0
168076,9999,1.0,228.0
168076,9999,1.0,27.0
168077,9999,1.0,16.0
168077,9999,1.0,100.0
168078,9999,1.0,180.0
168078,9999,1.0,134.0
168079,9999,1.0,67.0
168079,9999,1.0,16.0
168080,9999,1.0,601.0
168081,9999,1.0,706.0
168081,9999,3.0,55.0
168082,9999,1.0,609.0
168082,9999,3.0,42.0
168083,9999,1.0,604.0
168084,9999,1.0,777.0
168084,9999,1.0,195.0
168085,9999,1.0,525.0
168086,9999,1.0,537.0
168087,9999,1.0,547.0
168088,9999,1.0,20.0
168088,9999,1.0,6.7
168089,9999,1.0,113.0
168089,9999,1.0,18.0
168090,9999,1.0,31.5
168090,9999,1.0,126.0
168091,9999,1.0,31.5
168091,9999,1.0,126.0
168092,9999,1.0,138.0
168092,9999,1.0,20.0
168093,9999,1.0,13.4
168093,9999,1.0,26.0
168094,9999,1.0,14.6
168094,9999,1.0,231.0
168095,9999,1.0,28.35
168096,9999,1.0,14.0
168096,9999,1.0,216.0
168097,9999,1.0,30.0
168097,9999,1.0,242.0
168098,9999,1.0,132.0
168098,9999,1.0,113.0
168098,9999,1.0,17.0
168098,9999,1.0,28.0
168099,9999,1.0,17.0
168099,9999,1.0,264.0
168100,9999,1.0,15.0
168100,9999,1.0,234.0
168101,9999,1.0,28.0
168101,9999,1.0,14.0
168101,9999,1.0,28.0
168101,9999,1.0,43.0
168101,9999,1.0,14.0
168102,9999,2.0,51.0
168103,9999,1.0,186.0
168104,9999,1.0,174.0
168105,9999,1.0,174.0
168107,9999,1.0,4.2
168108,9999,1.0,37.0
168108,9999,1.0,42.0
168108,9999,1.0,195.0
168108,9999,1.0,3.4
168109,9999,1.0,17.0
168109,9999,1.0,269.0
168110,9999,3.0,85.0
168110,9999,1.0,17.0
168111,9999,3.0,85.0
168111,9999,1.0,453.0
168112,9999,1.0,14.5
168112,9999,1.0,232.0
168113,9999,1.0,29.8
168113,9999,1.0,74.0
168114,9999,4.0,113.0
168114,9999,1.0,226.0
168115,9999,1.0,14.0
168115,9999,1.0,224.0
168116,9999,1.0,26.0
168116,9999,1.0,28.0
168116,9999,10.0,18.0
168117,9999,1.0,253.0
168117,9999,1.0,31.6
168118,9999,1.0,138.0
168118,9999,1.0,28.0
168118,9999,1.0,43.0
168118,9999,1.0,14.0
168119,9999,1.0,144.0
168120,9999,3.0,85.0
168120,9999,1.0,28.0
168120,9999,1.0,42.0
168121,9999,1.0,140.0
